week,cluster_id,n_teams,weight,win_rate,share
2026-W15,0,168,1288.1604681015015,0.6428571428571429,0.06314526224558187
2026-W15,3,290,1898.1819925308228,0.6122448979591837,0.09304834504419474
2026-W15,8,210,1413.6089820861816,0.5,0.06929471296235157
2026-W15,11,823,5704.4596881866455,0.5803571428571429,0.2796310024253228
2026-W15,14,175,1218.9661483764648,0.5,0.059753376239809954
2026-W15,16,341,2485.411805152893,0.7741935483870968,0.12183418456859374
2026-W15,19,527,3618.485156059265,0.6091954022988506,0.17737712014082974
2026-W15,20,383,2772.6801233291626,0.6363636363636364,0.13591599637331564
2026-W16,0,416,1606.4959411621094,0.6587677725118484,0.10418001492500023
2026-W16,3,340,1270.7092838287354,0.4930555555555556,0.08240451081305002
2026-W16,8,291,999.9557800292969,0.567741935483871,0.06484635623320271
2026-W16,11,1029,4614.2163944244385,0.5875299760191847,0.2992283519188867
2026-W16,14,175,606.0306568145752,0.4819277108433735,0.039300617732204494
2026-W16,16,374,1774.0300903320312,0.5901639344262295,0.11504447446938228
2026-W16,19,592,2557.394555091858,0.6538461538461539,0.1658450520116808
2026-W16,20,488,1991.5523147583008,0.5471698113207547,0.12915062189659277
2026-W17,0,1554,10406.569727897644,0.5787401574803149,0.18720934191223604
2026-W17,3,658,4135.029065132141,0.5826771653543307,0.07438724674050161
2026-W17,8,579,3829.674903869629,0.4791666666666667,0.06889406761665728
2026-W17,11,2198,14497.486647605896,0.6059782608695652,0.26080303170447594
2026-W17,14,306,1861.594609260559,0.5,0.0334892198697103
2026-W17,16,813,5198.943479537964,0.5217391304347826,0.09352657147283046
2026-W17,19,1414,9163.927910804749,0.65234375,0.16485479445872242
2026-W17,20,986,6494.64988899231,0.5625,0.11683572622486597
2026-W18,0,462,1700.1908645629883,0.6566523605150214,0.2738297265707066
2026-W18,3,155,417.78052616119385,0.5111111111111111,0.06728699090774778
2026-W18,8,148,434.7496175765991,0.625,0.07002000268853283
2026-W18,11,436,1102.600073814392,0.608058608058608,0.1775828132137633
2026-W18,14,83,189.07395935058594,0.48936170212765956,0.030451916705198673
2026-W18,16,254,918.3314628601074,0.5238095238095238,0.14790483740241503
2026-W18,19,310,872.7092084884644,0.5736040609137056,0.14055699799184548
2026-W18,20,197,573.4988899230957,0.4722222222222222,0.09236671451979034
2026-W19,0,571,2294.0146532058716,0.6232876712328768,0.32648291420952547
2026-W19,3,113,290.68016147613525,0.417910447761194,0.041369442034295184
2026-W19,8,129,548.653489112854,0.6111111111111112,0.07808406531600016
2026-W19,11,342,1198.0385389328003,0.6302083333333334,0.1705041914093653
2026-W19,14,85,191.1951732635498,0.32653061224489793,0.027210792774424775
2026-W19,16,219,935.9683780670166,0.532608695652174,0.13320650905705397
2026-W19,19,263,1016.5892705917358,0.5725190839694656,0.14468043050775586
2026-W19,20,145,551.3066005706787,0.5161290322580645,0.07846165469157926
2026-W20,0,508,1404.4993839263916,0.6094674556213018,0.3364947140667419
2026-W20,3,117,194.5997714996338,0.4111111111111111,0.046622871620749975
2026-W20,8,121,242.74753761291504,0.5617977528089888,0.058158276318435516
2026-W20,11,223,670.9774770736694,0.5833333333333334,0.16075505399079706
2026-W20,14,45,94.53800392150879,0.32142857142857145,0.02264973481802242
2026-W20,16,235,594.4074306488037,0.5960264900662252,0.1424101432185452
2026-W20,19,278,717.631890296936,0.6011560693641619,0.17193267615082036
2026-W20,20,127,254.51068019866943,0.4588235294117647,0.06097652981588752
2026-W21,0,384,1389.251485824585,0.6041666666666666,0.3503807706637324
2026-W21,3,93,150.02782726287842,0.48148148148148145,0.03783826490289611
2026-W21,8,120,299.01798915863037,0.582089552238806,0.0754148219762634
2026-W21,11,317,647.0983781814575,0.5472636815920398,0.16320358895127993
2026-W21,14,40,47.05298042297363,0.48148148148148145,0.011867152715580174
2026-W21,16,233,545.524715423584,0.5827814569536424,0.13758586703456172
2026-W21,19,254,643.510983467102,0.5986842105263158,0.16229881818981853
2026-W21,20,116,243.49203777313232,0.5409836065573771,0.06141071556586775
2026-W22,0,217,217.0,0.6416184971098265,0.09400735783466295
2026-W22,1,44,97.02878379821777,0.5161290322580645,0.04203419169945256
2026-W22,2,78,178.21891975402832,0.5957446808510638,0.07720686526370517
2026-W22,3,53,60.079999923706055,0.3888888888888889,0.0260274748918634
2026-W22,4,29,64.73185920715332,0.8125,0.028042723740967206
2026-W22,5,15,29.362637519836426,0.4,0.01272029480321089
2026-W22,6,33,61.36464500427246,0.6818181818181818,0.026584000651215224
2026-W22,7,6,6.0,1.0,0.0025992817834469017
2026-W22,8,70,70.0,0.6551724137931034,0.030324954140213856
2026-W22,9,46,74.42248058319092,0.5142857142857142,0.032240833009803155
2026-W22,10,51,124.25695419311523,0.4722222222222222,0.05382980625012676
2026-W22,11,149,156.15384578704834,0.5294117647058824,0.06764797446157525
2026-W22,12,20,27.07207202911377,0.38461538461538464,0.011727990610906304
2026-W22,13,48,110.97447204589844,0.43333333333333335,0.04807565393609021
2026-W22,14,35,35.0,0.42857142857142855,0.015162477070106928
2026-W22,15,45,125.06263160705566,0.6363636363636364,0.05417883668769175
2026-W22,16,65,65.0,0.5531914893617021,0.028158885987341436
2026-W22,17,34,34.0,0.3181818181818182,0.014729263439532443
2026-W22,18,24,24.0,0.34782608695652173,0.010397127133787607
2026-W22,19,94,94.0,0.547945205479452,0.04072208127400146
2026-W22,20,68,75.08080768585205,0.5208333333333334,0.032526029284052564
2026-W22,21,34,62.712889671325684,0.5789473684210527,0.027168078618332033
2026-W22,22,192,449.2500343322754,0.5801526717557252,0.19462123840879644
2026-W22,23,39,67.55692100524902,0.6842105263157895,0.029266579019117524
2026-W23,1,106,175.70757961273193,0.5584415584415584,0.05698266598554016
2026-W23,2,187,435.804162979126,0.5304347826086957,0.1413330210846977
2026-W23,4,68,103.53306007385254,0.4444444444444444,0.03357618261916866
2026-W23,5,28,35.047059059143066,0.5882352941176471,0.011365900461120113
2026-W23,6,68,139.11749649047852,0.6226415094339622,0.045116356691803604
2026-W23,7,54,89.50763320922852,0.5142857142857142,0.02902768097744676
2026-W23,9,78,200.1580753326416,0.5675675675675675,0.06491205886579776
2026-W23,10,111,253.76711559295654,0.6984126984126984,0.0822976835593471
2026-W23,12,43,64.23788642883301,0.6,0.0208326017241775
2026-W23,13,149,336.18164920806885,0.574468085106383,0.10902504416436296
2026-W23,15,95,215.46493244171143,0.5849056603773585,0.06987613342568268
2026-W23,17,93,135.46114540100098,0.48,0.043930587510321646
2026-W23,18,51,72.22147369384766,0.46153846153846156,0.023421710785331385
2026-W23,21,96,168.29587936401367,0.4782608695652174,0.054579022155327984
2026-W23,22,259,571.7207384109497,0.6688741721854304,0.18541130636300043
2026-W23,23,59,87.30094623565674,0.5853658536585366,0.02831204362687357
2026-W24,1,67,117.1364107131958,0.5384615384615384,0.05804257872472874
2026-W24,2,151,260.77603816986084,0.5612244897959183,0.12921783784255805
2026-W24,4,58,79.59388446807861,0.5116279069767442,0.039439780313543255
2026-W24,5,25,25.0,0.3333333333333333,0.01238781741119844
2026-W24,6,68,135.41866302490234,0.6415094339622641,0.06710166686484399
2026-W24,7,47,61.191773414611816,0.6486486486486487,0.030321300645105524
2026-W24,9,49,77.6480131149292,0.6363636363636364,0.038475576352403396
2026-W24,10,116,239.11856174468994,0.5394736842105263,0.11848628330086398
2026-W24,12,56,84.55227470397949,0.43902439024390244,0.041896725629375624
2026-W24,13,140,234.66639614105225,0.6,0.11628017871757271
2026-W24,15,48,96.65017318725586,0.7647058823529411,0.04789138792817731
2026-W24,17,69,90.29650688171387,0.5909090909090909,0.044743065604787795
2026-W24,18,41,48.07920837402344,0.4375,0.023823858184494617
2026-W24,21,70,99.39093685150146,0.4888888888888889,0.049249471121774184
2026-W24,22,172,311.41425704956055,0.5614035087719298,0.1543097182229589
2026-W24,23,43,57.17866230010986,0.42857142857142855,0.028332753135613474
2026-W25,1,15,15.0,0.6666666666666666,0.03424657534246575
2026-W25,2,34,34.0,0.64,0.0776255707762557
2026-W25,4,30,30.0,0.6666666666666666,0.0684931506849315
2026-W25,5,21,21.0,0.5263157894736842,0.04794520547945205
2026-W25,6,18,18.0,0.8,0.0410958904109589
2026-W25,7,25,25.0,0.4166666666666667,0.05707762557077625
2026-W25,9,27,27.0,0.6363636363636364,0.06164383561643835
2026-W25,10,44,44.0,0.5,0.1004566210045662
2026-W25,12,10,10.0,0.4,0.0228310502283105
2026-W25,13,35,35.0,0.6,0.07990867579908675
2026-W25,15,28,28.0,0.4090909090909091,0.0639269406392694
2026-W25,17,21,21.0,0.4375,0.04794520547945205
2026-W25,18,24,24.0,0.5294117647058824,0.0547945205479452
2026-W25,21,24,24.0,0.625,0.0547945205479452
2026-W25,22,66,66.0,0.64,0.1506849315068493
2026-W25,23,16,16.0,0.6363636363636364,0.0365296803652968
